ticker,name,description,target_entry,target_exit
CVGI,"Commercial Vehicle Group, Inc. - Common Stock",Other,,
CVRX,"CVRx, Inc. - Common Stock",Other,,
CWBC,Community West Bancshares - Common Stock,Other,,
CXDO,"Crexendo, Inc. - Common Stock",Other,,
CYPH,Cypherpunk Technologies Inc. - Common Stock,Other,,
CYRX,"CryoPort, Inc. - Common Stock",Other,,
DAKT,"Daktronics, Inc. - Common Stock",Other,,
DCGO,DocGo Inc. - Common Stock,Other,,
DCTH,"Delcath Systems, Inc. - Common Stock",Other,,
DCX,Digital Currency X Technology Inc. - Class A Ordinary Shares,Other,,
DERM,Journey Medical Corporation - Common Stock,Other,,
DFDV,DeFi Development Corp. - Common Stock,Other,,
DGXX,Digi Power X Inc. - Common Subordinate Voting Shares,Other,,
DH,Definitive Healthcare Corp. - Class A Common Stock,Other,,
DIBS,"1stdibs.com, Inc. - Common Stock",Other,,
DMAC,DiaMedica Therapeutics Inc. - Common Stock,Other,,
DMRA,"Damora Therapeutics, Inc. - Ordinary Shares",Other,,
DMRC,Digimarc Corporation - Common Stock,Other,,
DNUT,"Krispy Kreme, Inc. - Common Stock",Other,,
DOMO,"Domo, Inc. - Class B Common Stock",Other,,
DPRO,Draganfly Inc. - Common Shares,Other,,
DRTS,Alpha Tau Medical Ltd. - Ordinary Shares,Other,,
DSGN,"Design Therapeutics, Inc. - Common Stock",Other,,
DSP,Viant Technology Inc. - common stock,Other,,
DTCX,"Datacentrex, Inc. - Common Stock",Other,,
DTI,Drilling Tools International Corporation  - Common Stock,Other,,
DTIL,"Precision BioSciences, Inc. - Common Stock",Other,,
DUOT,"Duos Technologies Group, Inc. - Common Stock",Other,,
ECX,ECARX Holdings Inc. - Class A Ordinary shares,Other,,
EGAN,eGain Corporation - Common Stock,Other,,
EGBN,"Eagle Bancorp, Inc. - Common Stock",Other,,
EGHT,8x8 Inc - Common stock,Other,,
EIKN,"Eikon Therapeutics, Inc. - Common Stock",Other,,
ELBM,Electra Battery Materials Corporation - Common Stock,Other,,
ELDN,"Eledon Pharmaceuticals, Inc. - Common Stock",Other,,
ELE,Elemental Royalty Corporation - Common Stock,Other,,
ELMT,The Elmet Group Co. - Common Stock,Other,,
ELTX,"Elicio Therapeutics, Inc. - Common Stock",Other,,
